season,fpl_code,element,player_name,position,team_name
2026-27,122798,502,Robertson,DEF,Spurs
2026-27,122806,45,McGinn,MID,Aston Villa
2026-27,128295,21,Nørgaard,MID,Everton
2026-27,135720,501,Danso,DEF,Spurs
2026-27,138001,228,King,GKP,Everton
2026-27,141746,426,B.Fernandes,MID,Man Utd
2026-27,146426,279,Ajayi,DEF,Hull City
2026-27,147675,320,Akpom,FWD,Ipswich Town
2026-27,149484,33,Mings,DEF,Aston Villa
2026-27,149929,311,Burns,MID,Ipswich Town
2026-27,152551,213,Lerma,MID,Crystal Palace
2026-27,153133,261,Iwobi,MID,Fulham
2026-27,153366,270,Reed,MID,Fulham
2026-27,153682,260,Wilson,MID,Leeds
2026-27,154561,1,Raya,GKP,Arsenal
2026-27,154566,526,Solanke,FWD,Spurs
2026-27,155405,408,Phillips,MID,Man City
2026-27,155408,71,Cook,MID,Bournemouth
2026-27,155503,352,Woodman,GKP,Liverpool
2026-27,158499,75,Christie,MID,Bournemouth
2026-27,158983,374,Endo,MID,Liverpool
2026-27,159506,473,Aina,DEF,Nott'm Forest
2026-27,160817,285,McNair,DEF,Hull City
2026-27,166477,258,Castagne,DEF,Fulham
2026-27,166989,43,Tielemans,MID,Man Utd
2026-27,167074,256,Tete,DEF,Fulham
2026-27,167512,539,O'Nien,DEF,Sunderland
2026-27,167825,273,Phillips,GKP,Hull City
2026-27,168144,184,Grimes,MID,Coventry City
2026-27,168636,80,Enes Ünal,FWD,Bournemouth
2026-27,169359,556,Targett,DEF,Hull City
2026-27,169432,295,McBurnie,FWD,Hull City
2026-27,169528,254,Robinson,DEF,Fulham
2026-27,169593,555,Matthews,GKP,Crystal Palace
2026-27,171270,288,Dowell,MID,Hull City
2026-27,171287,359,Gomez,DEF,Liverpool
2026-27,171314,390,Rúben,DEF,Man City
2026-27,172453,319,Szmodics,MID,Ipswich Town
2026-27,172649,198,Henderson,GKP,Crystal Palace
2026-27,172780,515,Maddison,MID,Spurs
2026-27,173878,176,Dasilva,DEF,Coventry City
2026-27,173879,56,Abraham,FWD,Aston Villa
2026-27,174594,347,Nmecha,FWD,Leeds
2026-27,174874,253,Andersen,DEF,Fulham
2026-27,176297,429,Rashford,MID,Man Utd
2026-27,176412,193,Wright,FWD,Coventry City
2026-27,176420,308,Furlong,DEF,Ipswich Town
2026-27,177815,346,Calvert-Lewin,FWD,Leeds
2026-27,178301,55,Watkins,FWD,Aston Villa
2026-27,180135,339,Longstaff,MID,Leeds
2026-27,180736,143,Chalobah,DEF,Chelsea
2026-27,180974,458,Joelinton,MID,Newcastle
2026-27,183015,303,Kipré,DEF,Ipswich Town
2026-27,183656,103,Dasilva,MID,Brentford
2026-27,184029,15,Ødegaard,MID,Arsenal
2026-27,184254,494,Vicario,GKP,Spurs
2026-27,184341,430,Mount,MID,Man Utd
2026-27,184349,269,Sessegnon,DEF,Fulham
2026-27,184667,37,Lindelöf,DEF,Aston Villa
2026-27,191866,87,Ajer,DEF,Brentford
2026-27,193278,280,Coyle,DEF,Hull City
2026-27,194010,89,Henry,DEF,Brentford
2026-27,195384,17,Merino,MID,Arsenal
2026-27,195546,41,Buendía,MID,Aston Villa
2026-27,198869,10,White,DEF,Arsenal
2026-27,199598,338,Ampadu,MID,Leeds
2026-27,199796,32,Cash,DEF,Aston Villa
2026-27,199798,31,Konsa,DEF,Aston Villa
2026-27,200089,460,Willock,MID,Newcastle
2026-27,200617,343,James,MID,Leeds
2026-27,200641,24,Nelson,MID,Arsenal
2026-27,200720,82,Kelleher,GKP,Brentford
2026-27,200785,73,Adams,MID,Bournemouth
2026-27,200834,533,Mukiele,DEF,Sunderland
2026-27,201595,326,Perri,GKP,Leeds
2026-27,201658,68,Tavernier,MID,Bournemouth
2026-27,201666,453,Barnes,MID,Newcastle
2026-27,201895,535,Alderete,DEF,Sunderland
2026-27,202993,516,Bentancur,MID,Spurs
2026-27,204120,114,Boscagli,DEF,Brighton
2026-27,204480,13,Rice,MID,Arsenal
2026-27,204561,558,Schlager,MID,Nott'm Forest
2026-27,204580,98,Janelt,MID,Brentford
2026-27,204813,179,Latibeaudiere,DEF,Coventry City
2026-27,204822,476,O.Richards,DEF,Nott'm Forest
2026-27,204936,384,Donnarumma,GKP,Man City
2026-27,204968,489,Yates,MID,Nott'm Forest
2026-27,205533,224,Nketiah,FWD,Crystal Palace
2026-27,205651,27,G.Jesus,FWD,Arsenal
2026-27,206915,373,C.Jones,MID,Liverpool
2026-27,207189,265,Berge,MID,Fulham
2026-27,207283,97,Jensen,MID,Brentford
2026-27,208481,292,Ömür,MID,Hull City
