season,fpl_code,element,player_name,position,team_name,understat_id,understat_player_name,mapping_status,confidence,source
2026-27,201658,68,Tavernier,MID,Bournemouth,10741,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,201666,453,Barnes,MID,Newcastle,6681,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,201895,535,Alderete,DEF,Sunderland,8986,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,202993,516,Bentancur,MID,Spurs,6108,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,204120,114,Boscagli,DEF,Brighton,3645,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,204480,13,Rice,MID,Arsenal,5553,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,204561,558,Schlager,MID,Nott'm Forest,7783,,mapped,MEDIUM,smartplayfpl_mapping_release
2026-27,204580,98,Janelt,MID,Brentford,9680,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,204813,179,Latibeaudiere,DEF,Coventry City,,,unmapped,NONE,smartplayfpl_mapping_release
2026-27,204822,476,O.Richards,DEF,Nott'm Forest,9675,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,204936,384,Donnarumma,GKP,Man City,1116,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,204968,489,Yates,MID,Nott'm Forest,11003,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,205533,224,Nketiah,FWD,Crystal Palace,6482,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,205651,27,G.Jesus,FWD,Arsenal,5543,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,206915,373,C.Jones,MID,Liverpool,6665,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,207189,265,Berge,MID,Fulham,8285,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,207283,97,Jensen,MID,Brentford,7166,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,208481,292,Ömür,MID,Hull City,,,unmapped,NONE,smartplayfpl_mapping_release
2026-27,208706,452,Bruno G.,MID,Arsenal,8327,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,209036,388,Guéhi,DEF,Man City,7603,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,209046,482,Hudson-Odoi,MID,Nott'm Forest,6456,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,209244,398,Foden,MID,Man City,6055,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,209289,262,Smith Rowe,MID,Fulham,7230,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,209365,416,De Ligt,DEF,Man Utd,7902,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,209400,214,Kamada,MID,Crystal Palace,6145,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,210156,492,Awoniyi,FWD,Nott'm Forest,7814,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,210462,488,Sangaré,MID,Nott'm Forest,5722,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,212314,267,Lukić,MID,Ipswich Town,1537,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,212319,527,Richarlison,FWD,Spurs,6026,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,213292,296,Akintola,MID,Hull City,,,unmapped,NONE,smartplayfpl_mapping_release
2026-27,214225,329,Rodon,DEF,Leeds,6377,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,214285,364,Tsimikas,DEF,Liverpool,8852,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,214572,495,Austin,GKP,Spurs,8093,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,215059,140,Sánchez,GKP,Chelsea,9098,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,215136,469,N.Williams,DEF,Nott'm Forest,8204,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,215379,481,Anderson,MID,Man City,9154,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,215413,236,Dewsbury-Hall,MID,Everton,9739,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,215711,44,Bailey,MID,Aston Villa,5221,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,216051,417,Dalot,DEF,Man Utd,7281,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,216055,571,Florentino,MID,Ipswich Town,8969,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,216094,357,Frimpong,DEF,Liverpool,9328,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,216616,304,O'Shea,DEF,Ipswich Town,8756,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,216646,464,Wissa,FWD,Newcastle,5786,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,218364,205,Sosa,DEF,Crystal Palace,7075,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,218997,195,Simms,FWD,Coventry City,8582,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,219168,379,Isak,FWD,Liverpool,5232,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,219249,126,O'Riley,MID,Brighton,13206,,mapped,HIGH,smartplayfpl_mapping_release
